fichier	dossier	loc	utt	token	age	annee	FUT	CONJ	SUBJ	INF	prorel	conj	comme	PPRE	prep+inf	n+conj+det	n+adj	n+prep+n	cest+++que	ya+++qu	v+inf	dit+qu	plus+qu	proobj
../tcof/chi-trans-metaok/hibraime1_ber.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	319	5;07.05	5	1	3	0	1	3	23	3	0	1	1	0	1	4	0	1	0	1	0	
../tcof/chi-trans-metaok/Hugo1_Hyp_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	2	641	4;05.30	4	0	0	0	38	3	76	7	0	3	1	2	1	2	0	3	1	0	0	
../tcof/chi-trans-metaok/ines1_hor.tei_corpo2_tto.cha 	 TRANS 	 CHI 	11	1641	5;10.23	5	13	6	0	12	19	156	3	0	4	4	22	16	6	0	23	3	1	0	
../tcof/chi-trans-metaok/Jeanne1_Dre_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	15	1582	3;09.17	3	8	4	0	22	11	192	25	0	7	1	7	13	5	0	13	2	2	0	
../tcof/chi-trans-metaok/jeanne1_hil.tei_corpo2_tto.cha 	 TRANS 	 CHI 	7	2189	5;07.05	5	3	2	0	7	34	144	10	0	6	3	0	22	8	0	11	1	3	0	
../tcof/chi-trans-metaok/jeremy1_pat.tei_corpo2_tto.cha 	 TRANS 	 CHI 	11	584	5;03.17	5	0	5	0	4	6	72	3	0	4	3	0	3	2	0	7	0	0	0	
../tcof/chi-trans-metaok/jessica1_cha.tei_corpo2_tto.cha 	 TRANS 	 CHI 	4	577	5;05.30	5	0	0	0	45	17	43	3	0	3	0	0	2	3	0	2	0	0	0	
../tcof/chi-trans-metaok/Joachim1_Alt_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	15	779	5;01.05	5	1	8	0	6	8	24	1	0	6	1	1	10	8	0	2	0	1	0	
../tcof/chi-trans-metaok/jonathan1_fra.tei_corpo2_tto.cha 	 TRANS 	 CHI 	8	532	3;10.23	3	4	4	0	11	3	35	2	0	2	0	3	1	3	0	3	0	0	0	
../tcof/chi-trans-metaok/jordan1_ton.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	497	2;08.11	2	0	2	0	0	2	24	9	0	1	0	0	0	1	0	12	0	0	0	
../tcof/chi-trans-metaok/Joseph1_Cla_Anon.tei_corpo2_tto.cha 	 TRANS 	 CHI 	0	1547	5;09.17	5	0	0	0	39	29	128	6	0	7	1	2	13	13	0	6	2	1	0	
../tcof/chi-trans-metaok/jules1_per.tei_corpo2_tto.cha 	 TRANS 	 CHI 	16	1564	3;03.17	3	0	5	0	3	13	148	5	0	1	0	0	2	5	0	12	0	0	0	
../tcof/chi-trans-metaok/juliette1_sto.tei_corpo2_tto.cha 	 TRANS 	 CHI 	6	1355	4;05.30	4	1	1	0	9	21	76	9	0	3	0	2	7	13	0	8	0	1	0	
../tcof/chi-trans-metaok/kelly1_ham.tei_corpo2_tto.cha 	 TRANS 	 CHI 	3	601	3;07.05	3	0	0	0	2	9	51	0	0	0	0	1	1	4	0	6	0	0	0	
../tcof/chi-trans-metaok/laura1_bah.tei_corpo2_tto.cha 	 TRANS 	 CHI 	9	771	4;05.30	4	2	1	0	10	4	70	0	0	4	2	1	1	4	0	2	1	2	0	
../tcof/chi-trans-metaok/laura1_can.tei_corpo2_tto.cha 	 TRANS 	 CHI 	18	221	2;09.17	2	0	0	0	7	1	18	2	0	0	0	0	1	9	0	0	0	0	0	
../tcof/chi-trans-metaok/laura1_llo.tei_corpo2_tto.cha 	 TRANS 	 CHI 	5	252	4;02.12	4	0	0	0	3	3	24	1	0	1	1	0	1	1	0	3	0	0	0	
../tcof/chi-trans-metaok/laureen1_gud.tei_corpo2_tto.cha 	 TRANS 	 CHI 	18	577	4;10.23	4	9	0	0	1	6	50	0	0	2	0	0	2	5	0	8	0	0	0	
../tcof/chi-trans-metaok/laurie1_jam.tei_corpo2_tto.cha 	 TRANS 	 CHI 	13	440	4;09.17	4	1	3	0	0	6	27	3	0	3	0	0	1	1	0	9	0	1	0	
../tcof/chi-trans-metaok/laurine1_car.tei_corpo2_tto.cha 	 TRANS 	 CHI 	17	1304	5;05.30	5	5	2	0	12	3	53	8	0	4	0	3	7	5	0	25	0	2	0	
../tcof/chi-trans-metaok/laurine1_gil.tei_corpo2_tto.cha 	 TRANS 	 CHI 	13	877	5;	5	3	3	0	3	10	69	6	0	1	1	2	3	11	0	7	1	0	0	
